,Name,Link,Distance,Date,id_course,Year,nom,annee,nb_pts_mont,pays,type_partic,pct_route,pct_piste,pct_sentier,challenge,championnat,inscr_nb,inscr_dt_min,inscr_dt_max,inscr_sur_place,inscr_tarif,inscr_tarif_devise,nb_etp,latitude,longitude,pays_arrivee,ville_depart,ville_arrivee,pays_depart,inscr_site,heure_depart,dist_tot,deniv_tot,deniv_neg_tot,nb_pts,temps_max
6407,Uttn 2021 - Uttn Roi Stanislas 78km 2021 77.40 K,https://itra.run/race/25893,77.40 km, 30/05/2021,25893,2021,UTTN ROI STANISLAS 78km 2021,2021,,FR,solo,8,0,92,,,400,2020-09-01,2021-05-15,0,0.0,EUR,1,48.7342,6.16512,FR,NANCY,CHAMPIGNEULLES,FR,http://uttn.fr/inscriptions/,2021-05-30 03:00:00,77.40,2750,2750,-1,54000
6408,London 2 Brighton Challenge 2021 - London 2 Brighton - 2nd Half 45.30 K,https://itra.run/race/26415,45.30 km, 30/05/2021,26415,2021,London 2 Brighton - 2nd Half,2021,2,GB,solo,16,29,55,,,2000,2020-08-03,2021-05-24,0,10.0,0,1,51.1051,-0.111281,GB,Tulley Farm - Crawley,Brighton Racecourse,GB,https://ww.ultrachallenge.com,2021-05-30 07:00:00,45.30,720,750,1,57600
6409,South Downs 100 K 2021 - South Downs 100k 100.00 K,https://itra.run/race/26579,100.00 km, 30/05/2021,26579,2021,South Downs 100k,2021,3,GB,solo,5,95,0,,,500,2020-07-04,2021-05-23,0,139.0,EUR,1,50.7686,0.295785,GB,Arundel,Eastbourne,GB,https://www.ukultra.co.uk,2021-05-30 06:00:00,100.00,2500,2500,4,57600
6410,The South West Traverse 2021 - The South West Traverse Solo 72.10 K,https://itra.run/race/27290,72.10 km, 30/05/2021,27290,2021,The South West Traverse Solo,2021,3,GB,solo,10,0,90,,,200,2020-10-01,2021-04-24,0,60.0,USD,1,50.0663,-5.71482,GB,Lizard Point,Lands End,GB,https://mudcrew.co.uk,2021-05-30 08:00:00,72.10,2100,2080,3,0
6411,Wangchan50 2021 - Nongyai25 24.70 K,https://itra.run/race/27352,24.70 km, 30/05/2021,27352,2021,NONGYAI25,2021,2,TH,solo,3,45,52,,,1000,2020-11-23,2021-05-25,0,40.0,USD,1,0.0,0.0,TH,"Nongyai, Chonburi","Nongyai, Chonburi",TH,https://sportsrepublicth.com/en/,2021-05-30 07:00:00,24.70,430,430,0,21600
6412,Greenweez Maxi-Race 2021 - Marathon Race 39.00 K,https://itra.run/race/1523,39.00 km, 30/05/2021,1523,2021,Marathon Race,2021,10,FR,solo,10,20,70,Salomon Over the Mountain Running Challenge,,1000,2020-11-11,2021-03-28,0,0.0,0,1,45.9194,6.16587,,Thalloire,Annecy-le-Vieux,,,2021-05-30 07:45:00,39.00,3100,3100,2,27900
6413,Greenweez Maxi-Race 2021 - Short-Race 16.50 K,https://itra.run/race/4404,16.50 km, 30/05/2021,4404,2021,Short-Race,2021,7,FR,solo,0,0,0,,,700,2020-11-27,2021-03-27,0,0.0,0,1,45.9194,6.16587,,menthon st bernard,ANNECY LE VIEUX,,,2021-05-30 08:00:00,16.50,950,1000,1,18000
6414,Greenweez Maxi-Race 2021 - Marathon-Expérience 45.00 K,https://itra.run/race/21559,45.00 km, 30/05/2021,21559,2021,Marathon-eXpérience,2021,6,FR,solo,10,5,85,,,1000,2020-11-13,2021-03-30,0,40.0,EUR,1,45.8898,6.13547,,doussard,annecy,,http://,2021-05-30 09:00:00,45.00,2400,2400,2,38700
6415,Metsovo Ursa Trail 2021 - Ursa Trail 11km 11.20 K,https://itra.run/race/19823,11.20 km, 30/05/2021,19823,2021,Ursa Trail 11km,2021,7,GR,solo,10,10,80,,,350,2021-03-18,2021-05-03,1,0.0,0,1,0.0,0.0,,Metsovo,Metsovo,,https://www.ursatrail.gr/en/athlete-registration/,2021-05-30 09:00:00,11.20,670,660,0,10800
6416,Trail Du Barrage 2021 - 30km 31.10 K,https://itra.run/race/27569,31.10 km, 30/05/2021,27569,2021,30km,2021,4,BE,solo,2,0,98,,,0,2020-11-01,2020-11-01,0,0.0,EUR,1,0.0,0.0,BE,La Roche-en-Ardenne,La Roche-en-Ardenne,BE,https://sportevents.be/index.php?route=common/homese&manufacturer_id=12&tracking_marketing=5d778568f27c,2021-05-30 09:00:00,31.10,1300,1300,1,0
