,Name,Link,Distance,Date,id_course,nom,annee,nb_pts_mont,pays,type_partic,pct_route,pct_piste,pct_sentier,challenge,championnat,inscr_nb,inscr_dt_min,inscr_dt_max,inscr_sur_place,inscr_tarif,inscr_tarif_devise,nb_etp,latitude,longitude,pays_arrivee,ville_depart,ville_arrivee,pays_depart,inscr_site,heure_depart,dist_tot,deniv_tot,deniv_neg_tot,nb_pts,temps_max
8994,Viii Hyundai Ultramaraton Bieszczadzki 2020 - Umb 26k 24.70 K,https://itra.run/race/6531,24.70 km, 10/10/2020,6531,uMB 26K,2020,5,PL,solo,11,40,49,,,250,2019-12-13,2020-10-09,1,0.0,0,1,49.2132,22.3283,,Solinka,Cisna,,http://www.maratonbieszczadzki.pl/,2020-10-10 08:15:00,24.70,1120,1260,1,18000
8995,Viii Hyundai Ultramaraton Bieszczadzki 2020 - Umb 90k 88.70 K,https://itra.run/race/13317,88.70 km, 10/10/2020,13317,uMB 90K,2020,5,PL,solo,15,45,40,,,400,2020-03-09,2020-10-09,0,0.0,0,1,49.2132,22.3283,,Cisna,Cisna,,http://www.maratonbieszczadzki.pl/,2020-10-10 01:00:00,88.70,4010,4010,4,54000
8996,Viii Hyundai Ultramaraton Bieszczadzki 2020 - Umb 14k 13.60 K,https://itra.run/race/15541,13.60 km, 10/10/2020,15541,uMB 14K,2020,5,PL,solo,30,70,0,,,200,2020-08-29,2020-10-09,0,0.0,0,1,49.2132,22.3283,,Cisna,Cisna,,https://b4sportonline.pl/ultraMaraton_Bieszczadzki/,2020-10-10 07:00:00,13.60,620,620,0,0
8997,Centurion Autumn 100 2020 161.50 K,https://itra.run/race/1397,161.50 km, 10/10/2020,1397,Centurion Autumn 100,2020,1,GB,solo,20,20,60,,,250,2019-11-30,2020-09-12,1,0.0,0,1,51.5216,-1.12187,,Goring On Thames,Goring on Thames,,http://www.centurionrunning.com,2020-10-10 09:00:00,161.50,2060,2060,5,100800
8998,Centurion Autumn 100 2020 161.50 K,https://itra.run/race/1397,161.50 km, 10/10/2020,1397,Centurion Autumn 100,2020,1,GB,solo,20,20,60,,,250,2019-11-30,2020-09-12,1,0.0,0,1,51.5216,-1.12187,,Goring On Thames,Goring on Thames,,http://www.centurionrunning.com,2020-10-10 09:00:00,161.50,2060,2060,5,100800
8999,Centurion Autumn 100 2021 158.40 K,https://itra.run/race/1397,158.40 km, 16/10/2021,1397,Centurion Autumn 100,2020,1,GB,solo,20,20,60,,,250,2019-11-30,2020-09-12,1,0.0,0,1,51.5216,-1.12187,,Goring On Thames,Goring on Thames,,http://www.centurionrunning.com,2020-10-10 09:00:00,161.50,2060,2060,5,100800
9000,Centurion Autumn 100 2021 158.40 K,https://itra.run/race/1397,158.40 km, 16/10/2021,1397,Centurion Autumn 100,2020,1,GB,solo,20,20,60,,,250,2019-11-30,2020-09-12,1,0.0,0,1,51.5216,-1.12187,,Goring On Thames,Goring on Thames,,http://www.centurionrunning.com,2020-10-10 09:00:00,161.50,2060,2060,5,100800
9001,Salzburg Trailrunning Festival 2020 - Gaisbergtrail 24.10 K,https://itra.run/race/23387,24.10 km, 10/10/2020,23387,Gaisbergtrail,2020,7,AT,solo,24,20,56,,,230,0000-00-00,0000-00-00,1,0.0,0,1,47.7981,13.0465,,Salzburg,Salzburg,,,2020-10-10 09:45:00,24.10,1460,1460,1,17100
9002,X-Treme Run Gramado 2020 - X-Treme Run - Longa 25k 25.60 K,https://itra.run/race/21503,25.60 km, 10/10/2020,21503,X-Treme Run - Longa 25k,2020,,BR,solo,17,43,40,,,300,2020-01-04,2020-09-11,1,70.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/x-treme-run-gramado,2020-10-10 08:00:00,25.60,1020,1020,-1,19800
9003,X-Treme Run Gramado 2020 - X-Treme Run - Longa 25k 25.60 K,https://itra.run/race/21503,25.60 km, 10/10/2020,21503,X-Treme Run - Longa 25k,2020,,BR,solo,17,43,40,,,300,2020-01-04,2020-09-11,1,70.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/x-treme-run-gramado,2020-10-10 08:00:00,25.60,1020,1020,-1,19800
